"MAE","sample_idx"
0.007948517799377441,785
0.007907986640930176,872
0.00786679983139038,838
0.007865846157073975,604
0.007742792367935181,55
0.007711529731750488,195
0.00770878791809082,993
0.007699251174926758,68
0.007697731256484985,663
0.0076458752155303955,582
0.007637321949005127,78
0.007601320743560791,725
0.007598608732223511,432
0.007588416337966919,852
0.00757715106010437,192
0.00756189227104187,92
0.007561475038528442,842
0.007557034492492676,866
0.007556021213531494,774
0.007545739412307739,708
0.007542014122009277,739
0.007521450519561768,420
0.007512897253036499,316
0.007507920265197754,48
0.007500588893890381,117
0.007498234510421753,528
0.00749698281288147,207
0.007496297359466553,981
0.007464855909347534,282
0.007455289363861084,45
0.007447361946105957,635
0.0074291229248046875,378
0.007427632808685303,189
0.007421553134918213,677
0.007420957088470459,926
0.007417559623718262,335
0.007394194602966309,91
0.007389426231384277,858
0.00737917423248291,933
0.00737154483795166,665
0.007367938756942749,844
0.007367491722106934,538
0.007366538047790527,673
0.007366180419921875,765
0.0073430538177490234,253
0.007342875003814697,44
0.007332950830459595,521
0.007331252098083496,978
0.007321715354919434,210
0.007321387529373169,353
0.007305741310119629,873
0.007303357124328613,641
0.00730288028717041,283
0.0072976648807525635,296
0.007280409336090088,983
0.007271707057952881,683
0.007250368595123291,363
0.007249414920806885,43
0.007248878479003906,429
0.007248818874359131,672
0.0072419047355651855,451
0.0072113871574401855,147
0.007206350564956665,583
0.00719645619392395,550
0.007193207740783691,535
0.007179379463195801,792
0.007152646780014038,720
0.00715145468711853,64
0.007134616374969482,238
0.007130235433578491,58
0.007125198841094971,602
0.007119417190551758,138
0.0071108341217041016,308
0.0071089863777160645,382
0.0071083009243011475,139
0.007095515727996826,906
0.0070830583572387695,573
0.007059454917907715,653
0.0070497989654541016,162
0.007047086954116821,135
0.007037132978439331,778
0.007035970687866211,908
0.0070264339447021484,422
0.007016956806182861,209
0.0070081353187561035,434
0.0070073604583740234,268
0.006994485855102539,373
0.006981343030929565,158
0.006960153579711914,915
0.0069580078125,380
0.006955742835998535,976
0.006953597068786621,952
0.00695076584815979,959
0.006944745779037476,790
0.006944239139556885,80
0.00694042444229126,939
0.006940126419067383,272
0.006939619779586792,175
0.006913244724273682,694
0.006912171840667725,430
